ref,feature,center_x_mm,center_y_mm,width_x_mm,depth_y_mm,height_above_pcb_mm,basis
PCB,outline,24,33,48,66,1,published
Mount holes,4x hole centers,2.40/45.60,2.45/63.65,2.15,,,photo-scaled
P2,USB-C,1.85,52.45,8.5,8.9,3.15,photo-scaled; package envelope
RST,pushbutton,9.9,63.55,4.0,4.2,2.3,photo-scaled
BOOT,pushbutton,13.75,63.55,4.0,4.2,2.3,photo-scaled
P4,RESE slide,46.1,49.85,3.9,8.2,2.05,photo-scaled
P1,battery SH1.0,11.15,33.75,5.0,5.0,3.0,photo-scaled / connector family
SW,power slide,2.55,33.25,5.5,8.3,2.25,photo-scaled
U4,microSD socket,7.25,20.45,14.6,15.4,1.75,photo-scaled
S1,KEY side button,1.1,8.75,4.2,4.7,2.2,photo-scaled
RT,brightness trimmer,6.05,2.85,3.8,3.8,2.25,photo-scaled
P8,front-light voltage select,13.0,2.35,9.1,3.6,1.8,photo-scaled
SS1,front-light HV DIP,21.35,2.95,4.6,5.1,2.15,photo-scaled
P6,front-light FPC,32.15,2.55,6.7,5.1,2.1,photo-scaled
TP2,touch FPC,45.25,34.8,5.4,7.35,2.0,photo-scaled
TP1,touch FPC,45.25,27.05,5.4,7.35,2.0,photo-scaled
P5,24-pin e-paper FPC,45.55,14.85,4.9,16.0,2.15,photo-scaled
U5,ESP32-WROOM-32D,32.55,53.7,18.0,25.5,3.1,published module size; photo-scaled XY
